H,P,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10
H_1.h5,P_1.h5,1,0,0,0,0,1,1,0,0,0
H_2.h5,P_2.h5,0,1,1,1,0,1,0,0,0,0
H_3.h5,P_3.h5,0,0,1,0,1,0,0,1,1,0
H_4.h5,P_4.h5,0,1,1,0,0,1,0,1,0,0
H_5.h5,P_5.h5,0,0,1,1,0,0,0,0,0,1
H_6.h5,P_6.h5,0,0,1,1,0,0,0,1,0,1
H_7.h5,P_7.h5,0,0,1,1,1,0,0,0,1,0
H_8.h5,P_8.h5,0,1,1,0,1,0,0,0,1,0
H_9.h5,P_9.h5,0,1,0,1,0,0,0,1,0,1
H_10.h5,P_10.h5,1,0,0,0,0,1,1,0,0,0
H_11.h5,P_11.h5,0,1,0,0,1,0,0,0,1,1
H_12.h5,P_12.h5,0,0,1,1,0,0,0,1,1,0
H_13.h5,P_13.h5,1,1,0,0,1,0,0,1,0,0
H_14.h5,P_14.h5,1,0,1,0,1,0,0,1,0,0
H_15.h5,P_15.h5,0,1,0,0,0,0,0,1,1,1
H_16.h5,P_16.h5,0,0,1,0,0,1,0,1,0,1
H_17.h5,P_17.h5,0,1,0,0,0,1,1,1,0,0
H_18.h5,P_18.h5,1,0,1,0,0,0,0,1,1,0
H_19.h5,P_19.h5,0,1,1,0,0,0,0,1,1,0
H_20.h5,P_20.h5,0,1,0,0,1,0,0,1,1,0
H_21.h5,P_21.h5,0,1,0,0,0,1,0,0,1,1
H_22.h5,P_22.h5,0,1,0,0,0,1,1,0,0,1
H_23.h5,P_23.h5,0,0,0,0,1,0,1,1,0,1
H_24.h5,P_24.h5,1,0,0,1,0,1,1,0,0,0
H_25.h5,P_25.h5,0,0,1,0,1,1,1,0,0,0
H_26.h5,P_26.h5,0,1,0,1,0,0,0,1,1,0
H_27.h5,P_27.h5,0,0,0,1,1,0,0,1,0,0
H_28.h5,P_28.h5,0,0,0,0,1,1,0,0,1,1
H_29.h5,P_29.h5,0,0,0,1,0,1,1,1,0,0
H_30.h5,P_30.h5,0,1,0,0,0,1,1,0,1,0
H_31.h5,P_31.h5,0,0,1,1,0,0,0,1,0,1
H_32.h5,P_32.h5,0,0,1,1,1,0,0,0,0,1
H_33.h5,P_33.h5,0,1,0,0,0,0,0,1,0,1
H_34.h5,P_34.h5,0,0,1,0,0,1,1,0,1,0
H_35.h5,P_35.h5,0,0,0,1,1,1,1,0,0,0
H_36.h5,P_36.h5,0,0,0,0,0,0,1,1,1,1
H_37.h5,P_37.h5,1,0,0,0,0,1,1,0,0,0
H_38.h5,P_38.h5,1,1,0,0,0,1,0,0,0,1
H_39.h5,P_39.h5,0,1,1,1,0,0,0,0,0,1
H_40.h5,P_40.h5,0,1,0,0,0,1,0,0,1,0
H_41.h5,P_41.h5,0,1,0,1,0,0,0,0,1,1
H_42.h5,P_42.h5,0,1,1,0,0,0,0,0,1,0
H_43.h5,P_43.h5,0,0,1,0,0,1,1,1,0,0
H_44.h5,P_44.h5,0,1,0,1,1,0,0,0,1,0
H_45.h5,P_45.h5,0,0,1,1,0,0,0,1,0,1
H_46.h5,P_46.h5,1,1,0,0,1,0,1,0,0,0
H_47.h5,P_47.h5,0,1,0,1,0,1,0,0,0,1
H_48.h5,P_48.h5,1,0,1,0,0,0,0,1,0,0
H_49.h5,P_49.h5,1,0,0,0,0,0,1,1,0,0
H_50.h5,P_50.h5,1,0,0,1,0,0,0,1,0,1
H_51.h5,P_51.h5,0,0,0,0,1,1,0,1,1,0
H_52.h5,P_52.h5,1,0,1,0,0,1,1,0,0,0
H_53.h5,P_53.h5,0,0,0,0,0,1,0,1,0,1
H_54.h5,P_54.h5,0,0,0,1,0,1,1,0,0,0
H_55.h5,P_55.h5,1,0,0,1,0,0,1,0,0,0
H_56.h5,P_56.h5,0,1,1,0,0,0,0,0,0,1
H_57.h5,P_57.h5,1,1,0,0,1,1,0,0,0,0
H_58.h5,P_58.h5,0,1,1,0,0,0,0,1,1,0
H_59.h5,P_59.h5,0,0,1,0,1,0,1,1,0,0
H_60.h5,P_60.h5,0,0,0,0,0,0,1,1,1,0
H_61.h5,P_61.h5,0,1,0,0,0,0,1,1,1,0
H_62.h5,P_62.h5,1,0,0,0,0,0,0,1,0,1
H_63.h5,P_63.h5,1,0,0,0,1,0,1,0,0,0
H_64.h5,P_64.h5,1,0,0,1,0,0,0,1,1,0
H_65.h5,P_65.h5,0,1,1,0,1,1,0,0,0,0
H_66.h5,P_66.h5,0,0,0,1,1,0,1,0,1,0
H_67.h5,P_67.h5,1,1,0,1,1,0,0,0,0,0
H_68.h5,P_68.h5,0,1,0,1,1,0,0,0,1,0
H_69.h5,P_69.h5,0,0,1,1,0,0,0,0,0,1
H_70.h5,P_70.h5,0,1,1,0,0,0,0,0,1,0
H_71.h5,P_71.h5,0,1,0,1,1,1,0,0,0,0
