,H,P,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10,sum_rate
0,H_1.h5,P_1.h5,0,1,0,0,1,0,0,0,1,1,19.20385421226763
1,H_2.h5,P_2.h5,1,0,0,0,1,0,1,1,0,0,32.13714599183648
2,H_3.h5,P_3.h5,0,0,1,0,0,1,1,0,0,1,18.46648583453198
3,H_4.h5,P_4.h5,0,1,0,0,1,1,0,0,0,0,11.278298479900927
4,H_5.h5,P_5.h5,0,1,0,0,0,0,1,1,0,1,16.809124411395107
5,H_6.h5,P_6.h5,0,0,0,0,1,1,0,1,0,1,26.421435139839993
6,H_7.h5,P_7.h5,1,0,1,0,0,0,0,0,1,1,16.19133390688189
7,H_8.h5,P_8.h5,0,1,0,0,0,1,1,0,1,0,15.310450015002875
8,H_9.h5,P_9.h5,0,0,0,0,1,1,0,1,0,1,21.842716274921347
9,H_10.h5,P_10.h5,0,0,0,0,0,0,1,1,1,0,21.199154613637532
10,H_11.h5,P_11.h5,1,1,0,0,0,0,0,1,0,1,25.11525742583258
11,H_12.h5,P_12.h5,0,1,0,1,0,1,0,0,1,0,20.046966115150116
12,H_13.h5,P_13.h5,0,0,1,1,0,0,0,1,0,1,21.2119686035071
13,H_14.h5,P_14.h5,0,1,0,1,0,0,0,1,1,0,12.858458861622656
14,H_15.h5,P_15.h5,0,1,0,0,1,0,1,0,0,0,20.34272549847584
15,H_16.h5,P_16.h5,0,0,1,0,0,1,0,1,0,1,14.21449923089005
16,H_17.h5,P_17.h5,0,0,1,1,1,0,0,0,0,0,25.454751012828027
17,H_18.h5,P_18.h5,0,1,0,0,0,0,1,1,0,0,17.8497596260052
18,H_19.h5,P_19.h5,0,0,1,0,1,0,0,1,0,0,20.705176763583584
19,H_20.h5,P_20.h5,1,0,0,1,0,1,0,0,1,0,19.958922363937077
20,H_21.h5,P_21.h5,0,0,0,0,1,0,1,0,1,1,21.983954502455127
21,H_22.h5,P_22.h5,0,0,0,0,1,0,1,1,1,0,28.40517397465443
22,H_23.h5,P_23.h5,0,1,1,0,0,0,0,1,0,1,15.276872774120712
23,H_24.h5,P_24.h5,0,1,1,0,1,0,0,0,0,0,16.431184552955752
24,H_25.h5,P_25.h5,0,0,1,0,0,0,0,0,1,1,19.537244618238
25,H_26.h5,P_26.h5,0,1,0,1,0,0,0,1,0,0,16.58906906689629
26,H_27.h5,P_27.h5,0,0,0,0,1,1,0,1,1,0,23.217865698027197
27,H_28.h5,P_28.h5,1,0,1,0,0,0,0,1,0,0,20.631433506749453
28,H_29.h5,P_29.h5,0,0,0,0,1,1,0,0,0,1,13.03881661191856
29,H_30.h5,P_30.h5,0,0,1,0,0,0,1,0,1,0,16.76082644543772
30,H_31.h5,P_31.h5,0,0,1,1,0,0,0,1,0,0,10.166145969920724
31,H_32.h5,P_32.h5,1,0,0,0,0,0,1,0,0,1,24.719243414358527
32,H_33.h5,P_33.h5,0,0,1,0,1,0,0,1,1,0,25.567910396121334
33,H_34.h5,P_34.h5,0,1,1,1,0,0,0,1,0,0,14.49340091319648
34,H_35.h5,P_35.h5,0,1,0,0,1,0,0,0,1,1,13.47428966017296
35,H_36.h5,P_36.h5,1,1,0,0,0,1,0,0,0,0,22.379028080420376
36,H_37.h5,P_37.h5,0,1,0,1,0,0,0,1,0,0,21.856997801914783
37,H_38.h5,P_38.h5,0,0,1,1,0,0,0,0,1,1,19.122276725974324
38,H_39.h5,P_39.h5,1,0,0,0,0,0,1,0,0,1,31.16339394396673
39,H_40.h5,P_40.h5,0,0,0,1,1,0,0,1,0,0,10.434494791833252
40,H_41.h5,P_41.h5,0,1,1,0,0,0,0,0,0,1,26.315994135337988
41,H_42.h5,P_42.h5,1,0,1,0,0,0,1,1,0,0,27.116461192898218
42,H_43.h5,P_43.h5,0,1,0,0,0,0,1,0,1,1,26.055320566525115
43,H_44.h5,P_44.h5,1,0,0,1,0,0,1,0,0,1,18.06806288476069
44,H_45.h5,P_45.h5,1,0,1,0,0,0,0,0,1,1,13.636427965821502
45,H_46.h5,P_46.h5,0,0,0,1,1,1,0,0,1,0,25.79726508815737
46,H_47.h5,P_47.h5,0,0,0,1,0,0,1,1,0,0,31.735587877210847
47,H_48.h5,P_48.h5,0,1,1,0,0,0,0,1,0,0,15.86068331729367
48,H_49.h5,P_49.h5,0,0,0,1,1,1,0,0,0,1,10.07846819613826
49,H_50.h5,P_50.h5,0,0,0,0,1,1,0,0,0,1,17.716094501700375
50,H_51.h5,P_51.h5,1,0,0,0,1,0,0,0,0,1,24.94421061600228
51,H_52.h5,P_52.h5,1,0,0,1,0,1,0,0,0,1,29.753223780580978
52,H_53.h5,P_53.h5,1,0,0,0,0,0,0,1,1,1,17.709240380515457
53,H_54.h5,P_54.h5,1,1,0,0,0,0,0,1,0,1,34.13501751696171
54,H_55.h5,P_55.h5,1,0,0,0,0,0,0,0,1,1,24.914011692063614
55,H_56.h5,P_56.h5,1,0,1,0,0,0,1,0,0,0,13.505463408184257
56,H_57.h5,P_57.h5,1,0,0,0,0,1,1,0,0,1,24.870282305803077
57,H_58.h5,P_58.h5,0,0,0,0,1,1,1,0,1,0,21.20218645296446
58,H_59.h5,P_59.h5,0,1,0,0,1,0,0,1,0,1,23.963760309294308
59,H_60.h5,P_60.h5,0,0,1,0,0,0,1,1,0,0,18.61866364908389
60,H_61.h5,P_61.h5,1,1,0,0,0,0,0,1,0,1,28.861059548672866
61,H_62.h5,P_62.h5,1,0,0,0,1,0,1,0,0,1,23.607859513817555
62,H_63.h5,P_63.h5,0,0,0,1,1,0,0,0,1,1,21.868445306455307
63,H_64.h5,P_64.h5,0,0,1,0,1,1,0,0,0,0,24.29575010985351
64,H_65.h5,P_65.h5,0,0,1,0,1,0,1,0,1,0,20.096903837013055
65,H_66.h5,P_66.h5,0,1,0,0,0,1,1,1,0,0,19.399130395486317
66,H_67.h5,P_67.h5,0,1,0,0,0,1,0,0,0,1,18.995518217000004
67,H_68.h5,P_68.h5,0,0,1,0,0,1,1,0,1,0,15.30049915677041
68,H_69.h5,P_69.h5,0,0,0,1,1,1,0,0,0,1,19.43966737853649
69,H_70.h5,P_70.h5,0,0,0,0,0,1,1,1,0,0,22.03432658596687
70,H_71.h5,P_71.h5,0,0,0,1,1,0,0,1,0,1,14.841599070425776
71,H_72.h5,P_72.h5,0,0,0,1,1,1,0,0,1,0,28.10245267010358
72,H_73.h5,P_73.h5,0,1,0,1,0,1,0,0,1,0,28.101653969188487
73,H_74.h5,P_74.h5,1,0,0,0,1,1,0,0,0,1,27.53538600186344
74,H_75.h5,P_75.h5,0,0,1,0,1,1,0,0,1,0,27.33281259801177
75,H_76.h5,P_76.h5,1,0,0,1,0,0,1,0,1,0,18.55180859326137
76,H_77.h5,P_77.h5,0,0,0,0,0,1,0,1,1,0,19.325349620908437
77,H_78.h5,P_78.h5,0,0,1,0,1,0,0,1,1,0,16.525449380400406
78,H_79.h5,P_79.h5,0,0,0,1,1,0,1,1,0,0,17.994377713770533
79,H_80.h5,P_80.h5,1,0,0,0,1,0,0,0,1,0,18.528656240216854
80,H_81.h5,P_81.h5,0,0,0,0,1,0,0,1,1,1,20.4971536714763
81,H_82.h5,P_82.h5,1,0,0,0,1,0,0,1,0,0,16.92976945643704
82,H_83.h5,P_83.h5,1,0,0,0,0,1,0,1,0,1,25.009954802188364
83,H_84.h5,P_84.h5,0,0,1,1,0,0,0,1,0,1,21.34603476572267
84,H_85.h5,P_85.h5,1,0,0,0,1,0,1,0,1,0,25.879419290133175
85,H_86.h5,P_86.h5,0,1,0,1,1,0,0,0,0,1,29.692864008520942
86,H_87.h5,P_87.h5,1,0,0,1,0,0,0,0,1,0,21.037307235577998
87,H_88.h5,P_88.h5,0,1,1,0,1,0,0,1,0,0,13.680963919441146
88,H_89.h5,P_89.h5,0,0,1,1,0,0,0,1,0,0,23.01561709507707
89,H_90.h5,P_90.h5,0,0,1,0,1,1,0,0,0,1,20.160187427156096
90,H_91.h5,P_91.h5,0,0,1,0,1,1,1,0,0,0,32.880191226160555
91,H_92.h5,P_92.h5,1,0,0,0,1,0,1,0,1,0,25.481636339062717
92,H_93.h5,P_93.h5,0,0,0,1,0,0,0,1,1,1,9.052144950285285
93,H_94.h5,P_94.h5,0,1,0,0,0,1,0,1,0,0,24.43853673794942
94,H_95.h5,P_95.h5,1,0,0,0,0,1,0,1,0,1,21.46429868049817
95,H_96.h5,P_96.h5,1,1,0,0,0,0,0,1,0,0,22.329833605559894
96,H_97.h5,P_97.h5,0,1,0,1,0,0,1,0,0,1,29.31934587577358
97,H_98.h5,P_98.h5,1,0,0,0,1,0,0,0,1,1,21.093976522505944
98,H_99.h5,P_99.h5,1,0,0,0,1,1,0,0,0,1,21.711818969464762
99,H_100.h5,P_100.h5,0,0,1,0,1,0,0,0,0,1,19.977475497114945
100,H_101.h5,P_101.h5,0,1,1,0,0,0,1,0,0,1,29.343116493208942
101,H_102.h5,P_102.h5,0,1,0,1,0,0,0,1,0,1,23.768011953232413
102,H_103.h5,P_103.h5,0,0,0,0,1,1,0,0,1,1,29.539712915400603
103,H_104.h5,P_104.h5,1,0,1,1,0,0,0,0,0,0,20.670072363389465
104,H_105.h5,P_105.h5,0,0,0,1,0,1,1,1,0,0,25.86792298536044
105,H_106.h5,P_106.h5,0,1,0,0,1,0,0,1,1,0,23.955166014001346
106,H_107.h5,P_107.h5,1,0,0,1,0,1,0,0,0,1,30.840442206044912
107,H_108.h5,P_108.h5,0,0,1,1,0,0,0,1,0,1,23.85302112292269
108,H_109.h5,P_109.h5,1,1,0,1,0,1,0,0,0,0,17.619408946899803
109,H_110.h5,P_110.h5,1,0,0,0,0,1,0,1,1,0,18.947169923849067
110,H_111.h5,P_111.h5,0,0,0,0,1,0,1,0,1,1,27.824162390840772
111,H_112.h5,P_112.h5,0,0,1,0,0,1,0,0,1,0,11.41889685629808
112,H_113.h5,P_113.h5,0,1,0,0,1,1,0,0,0,1,26.925492494992167
113,H_114.h5,P_114.h5,1,1,1,0,0,0,0,1,0,0,30.252100885255203
114,H_115.h5,P_115.h5,1,0,1,0,1,0,0,0,0,0,12.567645018605251
115,H_116.h5,P_116.h5,0,0,1,1,0,0,1,0,0,1,13.121394012532008
116,H_117.h5,P_117.h5,1,1,0,0,0,0,1,0,0,0,22.122094274867028
117,H_118.h5,P_118.h5,0,1,0,0,0,0,1,0,1,1,19.67857411865743
118,H_119.h5,P_119.h5,1,0,0,0,0,1,1,0,0,0,16.60564360781273
119,H_120.h5,P_120.h5,0,0,1,1,0,0,1,0,0,0,18.107720563305776
120,H_121.h5,P_121.h5,1,1,0,0,0,0,1,0,0,1,20.030644618614886
121,H_122.h5,P_122.h5,1,0,0,1,0,0,0,1,0,1,17.24429876681192
122,H_123.h5,P_123.h5,0,0,1,0,0,1,0,1,0,1,22.628242110663958
123,H_124.h5,P_124.h5,1,0,0,0,0,1,1,0,0,0,24.962284679971184
124,H_125.h5,P_125.h5,0,0,0,1,1,0,0,0,1,1,19.84782004724809
125,H_126.h5,P_126.h5,0,1,0,0,1,0,1,0,0,1,27.36441162593133
126,H_127.h5,P_127.h5,0,0,1,1,0,0,0,0,1,1,14.3435891663374
127,H_128.h5,P_128.h5,0,0,0,0,1,0,0,1,0,1,26.236368241605888
128,H_129.h5,P_129.h5,0,0,0,0,0,1,1,0,1,0,14.737357648535529
129,H_130.h5,P_130.h5,0,1,0,0,0,0,0,1,1,0,19.16701734801111
130,H_131.h5,P_131.h5,0,0,0,1,0,1,1,1,0,0,16.3497817781158
131,H_132.h5,P_132.h5,1,1,0,0,0,1,0,0,0,0,25.579809607431176
132,H_133.h5,P_133.h5,1,1,0,0,0,0,0,1,0,1,28.609406717467646
133,H_134.h5,P_134.h5,0,1,1,0,0,0,0,0,0,1,22.72026412823178
134,H_135.h5,P_135.h5,0,0,1,0,0,0,1,1,0,0,22.17393945844726
135,H_136.h5,P_136.h5,0,0,0,1,0,0,0,1,1,0,26.461400666960053
136,H_137.h5,P_137.h5,0,0,0,1,0,0,0,1,1,1,25.657438758594218
137,H_138.h5,P_138.h5,0,1,0,0,1,1,0,0,0,0,21.26836648639627
138,H_139.h5,P_139.h5,0,1,0,0,0,1,0,0,0,1,31.25451995959756
139,H_140.h5,P_140.h5,0,1,1,1,0,0,0,0,0,0,29.191456810692195
140,H_141.h5,P_141.h5,0,1,0,1,0,0,0,0,0,1,21.070674841248515
141,H_142.h5,P_142.h5,0,0,0,0,1,1,0,1,1,0,19.98472411457848
142,H_143.h5,P_143.h5,0,1,0,0,1,0,1,1,0,0,25.12592989268014
143,H_144.h5,P_144.h5,1,0,1,0,0,0,1,0,0,0,18.25107416461202
144,H_145.h5,P_145.h5,0,1,1,0,0,0,1,0,0,0,13.934833412370565
145,H_146.h5,P_146.h5,0,1,0,0,0,0,0,1,0,1,20.683511386720966
146,H_147.h5,P_147.h5,1,0,0,1,0,0,0,0,1,1,33.33294655931347
147,H_148.h5,P_148.h5,0,0,0,1,1,0,0,0,1,1,28.140038147608667
148,H_149.h5,P_149.h5,0,0,1,1,0,0,0,0,1,0,17.434045016148705
149,H_150.h5,P_150.h5,0,1,1,0,0,0,0,0,1,1,21.47752676246482
150,H_151.h5,P_151.h5,1,0,0,0,1,0,0,0,1,1,19.512816400806756
151,H_152.h5,P_152.h5,0,0,1,1,0,0,0,1,0,1,28.293063086279336
152,H_153.h5,P_153.h5,0,1,0,0,0,0,1,0,1,0,22.74686292899711
153,H_154.h5,P_154.h5,1,0,0,1,0,0,0,1,0,1,21.302683354313398
154,H_155.h5,P_155.h5,1,0,0,0,1,0,1,0,0,0,8.79129663443113
155,H_156.h5,P_156.h5,0,0,1,1,0,0,0,1,0,0,17.948788118283176
156,H_157.h5,P_157.h5,0,1,0,1,0,0,1,0,0,0,21.30385547017767
157,H_158.h5,P_158.h5,0,0,0,1,0,1,1,0,0,1,27.929839303613043
158,H_159.h5,P_159.h5,0,1,0,0,1,0,1,0,0,1,26.101345102871374
159,H_160.h5,P_160.h5,0,0,1,0,1,0,1,0,0,1,13.31861273705298
160,H_161.h5,P_161.h5,0,1,0,1,0,0,0,0,1,1,25.649394102560958
161,H_162.h5,P_162.h5,1,0,0,0,1,1,0,0,0,1,12.457125013722441
162,H_163.h5,P_163.h5,0,0,1,1,0,0,1,0,1,0,22.501804133843144
163,H_164.h5,P_164.h5,1,0,0,1,0,0,0,0,0,1,18.187351835264955
164,H_165.h5,P_165.h5,0,1,0,0,1,0,0,1,1,0,29.571179887318493
165,H_166.h5,P_166.h5,0,0,0,0,1,0,0,0,0,1,13.626777822311201
166,H_167.h5,P_167.h5,1,0,0,0,1,0,0,1,1,0,15.099390090586862
167,H_168.h5,P_168.h5,1,0,0,1,0,0,1,0,1,0,25.286296445747166
168,H_169.h5,P_169.h5,0,0,1,1,1,0,0,0,0,0,21.748481512458458
169,H_170.h5,P_170.h5,0,0,0,1,0,1,0,0,1,0,13.986646299097847
170,H_171.h5,P_171.h5,1,0,1,0,0,1,1,0,0,0,32.597241802003474
171,H_172.h5,P_172.h5,1,0,1,0,0,1,0,0,0,1,19.544662362854712
172,H_173.h5,P_173.h5,1,0,0,0,1,0,0,0,1,0,18.22730441254893
173,H_174.h5,P_174.h5,0,1,0,1,1,0,0,0,1,0,30.727814274529624
174,H_175.h5,P_175.h5,1,0,0,0,1,1,0,0,0,0,17.30946424780928
175,H_176.h5,P_176.h5,1,0,1,0,0,1,0,0,1,0,16.949579677995352
176,H_177.h5,P_177.h5,0,0,0,1,0,1,1,0,0,1,20.32938288201091
177,H_178.h5,P_178.h5,0,1,1,0,0,0,0,1,0,1,19.65192899929928
178,H_179.h5,P_179.h5,0,1,1,0,1,0,0,1,0,0,23.06967418021001
179,H_180.h5,P_180.h5,0,0,0,1,1,0,1,0,0,1,24.733214780271297
180,H_181.h5,P_181.h5,0,0,1,0,0,1,1,0,1,0,15.13942099850889
181,H_182.h5,P_182.h5,1,1,0,1,0,0,0,1,0,0,14.502260109850196
182,H_183.h5,P_183.h5,0,1,0,0,0,1,0,1,0,0,29.64938183623604
183,H_184.h5,P_184.h5,0,0,1,0,1,1,1,0,0,0,25.59378702967594
184,H_185.h5,P_185.h5,1,0,0,0,1,1,0,0,0,1,19.139502733346063
185,H_186.h5,P_186.h5,0,0,1,0,0,1,0,0,0,1,29.47991390846658
186,H_187.h5,P_187.h5,0,1,0,1,0,0,1,0,0,1,26.340568212884108
187,H_188.h5,P_188.h5,1,0,0,0,0,1,1,1,0,0,17.185904143651477
188,H_189.h5,P_189.h5,0,1,1,0,0,0,0,0,1,1,14.206773472840617
189,H_190.h5,P_190.h5,1,0,0,0,1,1,0,0,0,1,23.29623584555938
190,H_191.h5,P_191.h5,0,0,1,0,0,0,0,1,0,1,19.61879152754054
191,H_192.h5,P_192.h5,1,0,0,0,1,1,0,0,0,0,22.794478135584555
192,H_193.h5,P_193.h5,0,0,0,0,1,1,0,1,0,1,26.160168026281227
193,H_194.h5,P_194.h5,0,0,1,0,0,0,1,0,1,0,20.445816724390074
194,H_195.h5,P_195.h5,0,0,0,0,0,0,0,1,1,1,15.15406812285483
195,H_196.h5,P_196.h5,0,0,1,1,0,1,0,0,0,0,28.64877132585356
196,H_197.h5,P_197.h5,0,0,1,0,0,1,0,1,0,1,17.557905798989164
197,H_198.h5,P_198.h5,0,0,0,1,0,1,0,1,0,1,20.475463491537315
198,H_199.h5,P_199.h5,0,0,0,1,0,0,0,1,0,1,22.67538901884781
199,H_200.h5,P_200.h5,1,0,1,0,0,1,0,0,0,1,21.318778674832497
200,H_201.h5,P_201.h5,0,1,1,0,0,0,0,1,0,0,18.508663831840526
201,H_202.h5,P_202.h5,0,1,1,0,0,1,0,1,0,0,26.998814285974625
202,H_203.h5,P_203.h5,0,0,0,0,1,0,0,1,1,0,23.360003666606076
203,H_204.h5,P_204.h5,1,0,1,1,0,0,0,0,0,1,26.080434932494
204,H_205.h5,P_205.h5,1,0,1,1,0,0,0,0,0,0,13.748528149711593
205,H_206.h5,P_206.h5,0,0,1,0,0,0,0,1,0,1,22.738607171023958
206,H_207.h5,P_207.h5,1,1,0,0,1,0,0,0,1,0,22.75060192380569
207,H_208.h5,P_208.h5,0,1,0,0,1,0,1,0,0,1,29.749920321410524
208,H_209.h5,P_209.h5,1,0,0,0,0,0,1,1,0,0,16.71979987881131
209,H_210.h5,P_210.h5,0,0,0,1,1,0,1,0,1,0,26.33956407648223
210,H_211.h5,P_211.h5,1,0,1,0,0,0,0,0,1,0,28.1152903633098
211,H_212.h5,P_212.h5,0,0,1,0,0,1,0,1,1,0,19.048059571319573
212,H_213.h5,P_213.h5,1,0,1,0,0,0,0,0,1,1,26.572975912091493
213,H_214.h5,P_214.h5,1,0,0,0,1,0,0,0,1,1,17.93635037309833
214,H_215.h5,P_215.h5,0,0,1,1,1,0,1,0,0,0,14.602725822696385
215,H_216.h5,P_216.h5,0,0,1,1,1,0,0,0,1,0,17.061523170632118
216,H_217.h5,P_217.h5,0,0,1,1,1,0,0,0,0,1,27.417123203424676
217,H_218.h5,P_218.h5,0,0,1,1,0,0,0,0,1,0,20.079592376027296
218,H_219.h5,P_219.h5,1,0,0,1,0,0,0,1,0,1,27.824606605370214
219,H_220.h5,P_220.h5,0,1,0,0,0,1,0,1,0,0,11.299965813432713
220,H_221.h5,P_221.h5,1,0,0,0,0,0,1,1,0,1,19.919908239887405
221,H_222.h5,P_222.h5,1,0,0,0,0,1,1,0,1,0,43.17546209759777
222,H_223.h5,P_223.h5,1,0,0,0,1,0,1,0,0,0,19.312556736042428
223,H_224.h5,P_224.h5,0,0,0,0,0,0,1,0,1,1,20.384354429797696
224,H_225.h5,P_225.h5,1,0,0,1,0,0,1,0,1,0,14.684065101028626
225,H_226.h5,P_226.h5,0,0,1,0,0,0,1,0,1,0,27.80477355128128
226,H_227.h5,P_227.h5,0,0,0,0,0,1,0,0,1,0,18.069086419128283
227,H_228.h5,P_228.h5,0,1,0,1,1,0,0,0,1,0,29.46201106564023
228,H_229.h5,P_229.h5,0,0,1,0,1,0,1,0,0,0,18.978573229196563
