,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10,H,P,sum_rate
0,1,1,1,0,0,0,1,0,0,1,H_1.h5,P_1.h5,23.476652475560872
1,0,1,1,1,1,0,1,0,0,0,H_2.h5,P_2.h5,26.525870198205112
2,1,0,0,0,1,0,1,0,1,1,H_3.h5,P_3.h5,18.647984645624465
3,1,1,0,0,0,1,1,0,0,1,H_4.h5,P_4.h5,11.46105902916633
4,1,1,0,1,0,0,1,0,1,0,H_5.h5,P_5.h5,14.768338106385688
5,0,0,1,1,0,1,0,1,0,1,H_6.h5,P_6.h5,17.6840170587438
6,0,1,1,1,1,0,0,0,0,1,H_7.h5,P_7.h5,15.352737813830453
7,1,1,1,0,0,0,1,1,0,0,H_8.h5,P_8.h5,10.178488367757339
8,1,0,1,0,1,0,0,0,1,1,H_9.h5,P_9.h5,20.956501795552896
9,0,1,1,0,1,0,0,0,1,1,H_10.h5,P_10.h5,15.236279708521014
10,1,0,1,1,0,0,0,0,1,1,H_11.h5,P_11.h5,20.538385206198043
11,0,0,0,1,0,1,1,1,0,1,H_12.h5,P_12.h5,18.723084390945033
12,1,0,1,1,0,0,0,1,0,1,H_13.h5,P_13.h5,19.94662215488991
13,1,0,1,1,1,0,0,1,0,0,H_14.h5,P_14.h5,13.749279863001252
14,0,1,1,0,1,0,1,0,1,0,H_15.h5,P_15.h5,17.773433453421667
15,1,0,0,1,1,0,0,1,1,0,H_16.h5,P_16.h5,11.333355719088404
16,0,1,0,1,1,0,1,1,0,0,H_17.h5,P_17.h5,19.702205579674377
17,0,0,0,1,0,1,1,1,0,1,H_18.h5,P_18.h5,15.475473041212958
18,0,1,0,0,1,1,0,1,1,0,H_19.h5,P_19.h5,14.889795303640087
19,0,0,1,1,1,0,0,1,0,1,H_20.h5,P_20.h5,13.330628288956174
20,0,0,1,1,1,0,1,0,1,0,H_21.h5,P_21.h5,20.905646981594042
21,0,0,1,0,0,1,1,0,1,1,H_22.h5,P_22.h5,23.442931831474866
22,0,0,1,0,1,1,1,1,0,0,H_23.h5,P_23.h5,15.627923380398947
23,1,1,0,0,0,1,1,0,1,0,H_24.h5,P_24.h5,11.26994333458215
24,0,0,1,1,0,0,1,1,0,1,H_25.h5,P_25.h5,14.906071995978248
25,0,1,1,0,1,0,0,0,1,1,H_26.h5,P_26.h5,12.485103914847334
26,1,1,1,0,0,1,0,0,0,1,H_27.h5,P_27.h5,14.573848023765596
27,1,0,0,1,1,0,0,1,1,0,H_28.h5,P_28.h5,17.11918590764262
28,0,1,0,1,0,1,0,1,1,0,H_29.h5,P_29.h5,21.4727479908328
29,1,1,0,1,1,0,1,0,0,0,H_30.h5,P_30.h5,14.184855648721282
30,0,1,0,1,1,0,1,0,1,0,H_31.h5,P_31.h5,17.305322618656497
31,0,0,0,0,1,1,1,1,1,0,H_32.h5,P_32.h5,22.796244414471637
32,0,1,0,1,1,0,1,0,0,1,H_33.h5,P_33.h5,19.749514751205574
33,0,0,0,0,1,1,0,1,1,1,H_34.h5,P_34.h5,15.814677943697447
34,1,0,0,1,0,1,1,0,0,1,H_35.h5,P_35.h5,11.878907004221663
35,1,0,0,1,0,0,0,1,1,1,H_36.h5,P_36.h5,18.44787072164252
36,1,1,0,0,1,0,0,1,0,1,H_37.h5,P_37.h5,17.417601146528636
